transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,2098,7902,0.9301,0.7597712106768351,0.975322703113136
brightness_s2,10000,2163,7837,0.9265,0.7498844197873324,0.9752456297052444
brightness_s3,10000,2245,7755,0.9177,0.7278396436525613,0.9726627981947132
brightness_s4,10000,2404,7596,0.9105,0.7196339434276207,0.9709057398630858
brightness_s5,10000,2925,7075,0.8803,0.6823931623931624,0.962120141342756
contrast_s1,10000,2050,7950,0.9285,0.7536585365853659,0.9735849056603774
contrast_s2,10000,2704,7296,0.8956,0.7181952662721893,0.9613486842105264
contrast_s3,10000,3538,6462,0.8574,0.6986998304126625,0.9442896935933148
contrast_s4,10000,5280,4720,0.7581,0.6289772727272728,0.902542372881356
contrast_s5,10000,9017,983,0.3589,0.3372518576023067,0.5574771108850458
defocus_blur_s1,10000,2067,7933,0.93,0.7610062893081762,0.9740325223748896
defocus_blur_s2,10000,2297,7703,0.9157,0.7461906835002177,0.966246916785668
defocus_blur_s3,10000,3451,6549,0.8622,0.7096493769921762,0.9425866544510612
defocus_blur_s4,10000,5013,4987,0.7616,0.6487133453022143,0.8750751955083217
defocus_blur_s5,10000,7238,2762,0.5295,0.4654600718430505,0.6973207820419985
elastic_transform_s1,10000,3044,6956,0.8835,0.7105781865965834,0.9591719378953422
elastic_transform_s2,10000,3102,6898,0.879,0.7059961315280464,0.9567990721948392
elastic_transform_s3,10000,3895,6105,0.8363,0.6870346598202824,0.9315315315315316
elastic_transform_s4,10000,4721,5279,0.7786,0.6496504977758949,0.8939193028982761
elastic_transform_s5,10000,5199,4801,0.7502,0.6170417387959223,0.8943970006248698
fog_s1,10000,2084,7916,0.9301,0.7571976967370442,0.9756189994946944
fog_s2,10000,2269,7731,0.9194,0.742177170559718,0.9714137886431252
fog_s3,10000,2774,7226,0.8979,0.720620043258832,0.9659562690285082
fog_s4,10000,3477,6523,0.8705,0.7103825136612022,0.9558485359497164
fog_s5,10000,5763,4237,0.7144,0.6003817456186015,0.86948312485249
frost_s1,10000,3046,6954,0.8895,0.7097833223900197,0.9682197296519988
frost_s2,10000,3975,6025,0.8305,0.6563522012578616,0.9453941908713692
frost_s3,10000,5350,4650,0.7271,0.5680373831775701,0.9101075268817204
frost_s4,10000,5515,4485,0.7128,0.5646418857660924,0.8949832775919733
frost_s5,10000,6488,3512,0.5939,0.4651664611590629,0.8317198177676538
gaussian_blur_s1,10000,2070,7930,0.93,0.7608695652173914,0.9741488020176544
gaussian_blur_s2,10000,3443,6557,0.8589,0.7083938425791461,0.9379289309135276
gaussian_blur_s3,10000,5223,4777,0.7456,0.6410109132682367,0.8599539459912079
gaussian_blur_s4,10000,6611,3389,0.5953,0.5279080320677658,0.7267630569489525
gaussian_blur_s5,10000,8211,1789,0.3467,0.3142126415783705,0.4958077138065959
