transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,2416,7584,0.938,0.7889072847682119,0.9854957805907172
brightness_s2,10000,2422,7578,0.9347,0.7799339388934765,0.9841646872525732
brightness_s3,10000,2519,7481,0.9291,0.7749106788408099,0.9810185804036894
brightness_s4,10000,2653,7347,0.9197,0.7561251413494158,0.9787668436096366
brightness_s5,10000,3093,6907,0.8918,0.7203362431296476,0.968582597364992
contrast_s1,10000,2364,7636,0.932,0.7626903553299492,0.9844159245678366
contrast_s2,10000,2909,7091,0.8973,0.7136473014781712,0.9726413763926104
contrast_s3,10000,3596,6404,0.8594,0.6835372636262514,0.9581511555277952
contrast_s4,10000,5113,4887,0.772,0.6358302366516722,0.9144669531409862
contrast_s5,10000,8443,1557,0.385,0.3395712424493663,0.6313423249839435
defocus_blur_s1,10000,2399,7601,0.9361,0.783659858274281,0.9842126036047888
defocus_blur_s2,10000,2643,7357,0.9191,0.7608777903897087,0.975941280413212
defocus_blur_s3,10000,3852,6148,0.8491,0.6931464174454829,0.9468119713728042
defocus_blur_s4,10000,5361,4639,0.7305,0.5976496922216005,0.884026729898685
defocus_blur_s5,10000,7170,2830,0.5015,0.4260808926080892,0.6925795053003534
elastic_transform_s1,10000,3347,6653,0.8836,0.724230654317299,0.9637757402675484
elastic_transform_s2,10000,3393,6607,0.8765,0.7111700559976422,0.9614045709096412
elastic_transform_s3,10000,4230,5770,0.8254,0.6671394799054373,0.941421143847487
elastic_transform_s4,10000,5061,4939,0.7643,0.628531910689587,0.9034217452925694
elastic_transform_s5,10000,5692,4308,0.7364,0.6059381588193956,0.908774373259053
fog_s1,10000,2352,7648,0.9364,0.780187074829932,0.9844403765690376
fog_s2,10000,2481,7519,0.9248,0.7541313986295849,0.9811145099082323
fog_s3,10000,2899,7101,0.9047,0.7337012763021732,0.9745106323053092
fog_s4,10000,3450,6550,0.8695,0.7014492753623188,0.9580152671755724
fog_s5,10000,5603,4397,0.6801,0.5495270390862038,0.8464862406186036
frost_s1,10000,3191,6809,0.8875,0.7138827953619555,0.9688647378469672
frost_s2,10000,4214,5786,0.8283,0.6608922638822972,0.9502246802627032
frost_s3,10000,5605,4395,0.7249,0.5851917930419268,0.9030716723549488
frost_s4,10000,5744,4256,0.7058,0.5633704735376045,0.8980263157894737
frost_s5,10000,6725,3275,0.5869,0.4707806691449814,0.8253435114503817
gaussian_blur_s1,10000,2407,7593,0.9359,0.7843788948899044,0.983932569471882
