transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1446,8554,0.938,0.7164591977869986,0.9754500818330606
brightness_s2,10000,1477,8523,0.9347,0.7048070412999323,0.9745394814032616
brightness_s3,10000,1593,8407,0.9291,0.7124921531701193,0.9701439276793148
brightness_s4,10000,1694,8306,0.9197,0.6889020070838253,0.9667710089092224
brightness_s5,10000,2038,7962,0.8918,0.6511285574092247,0.9534036674202462
contrast_s1,10000,1426,8574,0.932,0.6956521739130435,0.9713086074177748
contrast_s2,10000,1825,8175,0.8973,0.6383561643835617,0.9551070336391436
contrast_s3,10000,2373,7627,0.8594,0.6249473240623683,0.9323456142651108
contrast_s4,10000,3434,6566,0.772,0.5736750145602796,0.8757234236978373
contrast_s5,10000,6730,3270,0.385,0.3057949479940565,0.5480122324159021
defocus_blur_s1,10000,1425,8575,0.9361,0.7164912280701754,0.972594752186589
defocus_blur_s2,10000,1641,8359,0.9191,0.6971358927483242,0.9626749611197511
defocus_blur_s3,10000,2479,7521,0.8491,0.6325131101250504,0.9204892966360856
defocus_blur_s4,10000,3867,6133,0.7305,0.5647788983708301,0.834991032121311
defocus_blur_s5,10000,5387,4613,0.5015,0.401707815110451,0.6180359852590505
elastic_transform_s1,10000,2177,7823,0.8836,0.6619200734956362,0.94528953087051
elastic_transform_s2,10000,2284,7716,0.8765,0.6576182136602452,0.9412908242612752
elastic_transform_s3,10000,2835,7165,0.8254,0.6172839506172839,0.9077459874389392
elastic_transform_s4,10000,3493,6507,0.7643,0.5702834239908389,0.8684493622252958
elastic_transform_s5,10000,4125,5875,0.7364,0.5558787878787879,0.8631489361702127
fog_s1,10000,1415,8585,0.9364,0.7074204946996466,0.9741409435061154
fog_s2,10000,1551,8449,0.9248,0.68214055448098,0.9693454846727424
fog_s3,10000,1822,8178,0.9047,0.672338090010977,0.9564685742235264
fog_s4,10000,2247,7753,0.8695,0.641299510458389,0.9356378176189862
fog_s5,10000,4050,5950,0.6801,0.5039506172839506,0.8
frost_s1,10000,2159,7841,0.8875,0.6567855488652153,0.9510266547634232
frost_s2,10000,3008,6992,0.8283,0.6040558510638298,0.924771167048055
frost_s3,10000,4277,5723,0.7249,0.5372924947393033,0.8651057137864756
frost_s4,10000,4373,5627,0.7058,0.5225245826663618,0.8482317398258397
frost_s5,10000,5297,4703,0.5869,0.4404379837643949,0.7518605145651711
gaussian_blur_s1,10000,1435,8565,0.9359,0.716376306620209,0.9726795096322242
gaussian_blur_s2,10000,2498,7502,0.848,0.6381104883907126,0.9178885630498532
gaussian_blur_s3,10000,4076,5924,0.6934,0.5429342492639843,0.7969277515192438
gaussian_blur_s4,10000,5279,4721,0.509,0.4173138852055313,0.6115229824189791
gaussian_blur_s5,10000,6572,3428,0.2905,0.2442178940961655,0.3792298716452742
gaussian_noise_s1,10000,4016,5984,0.7561,0.5570219123505976,0.8897058823529411
gaussian_noise_s2,10000,6172,3828,0.5255,0.4081335061568373,0.7147335423197492
gaussian_noise_s3,10000,7722,2278,0.3399,0.2766122766122766,0.5544337137840211
gaussian_noise_s4,10000,8365,1635,0.2738,0.2288105200239091,0.5039755351681957
gaussian_noise_s5,10000,8810,1190,0.2312,0.2,0.4621848739495798
glass_blur_s1,10000,5587,4413,0.5238,0.4009307320565599,0.6793564468615454
glass_blur_s2,10000,5540,4460,0.56,0.4274368231046931,0.7246636771300449
glass_blur_s3,10000,5312,4688,0.5893,0.4484186746987952,0.7489334470989761
glass_blur_s4,10000,5973,4027,0.4377,0.3293152519671857,0.5984603923516265
glass_blur_s5,10000,5978,4022,0.4774,0.3643358982937437,0.6454500248632521
impulse_noise_s1,10000,2429,7571,0.8699,0.6335940716344175,0.945713908334434
impulse_noise_s2,10000,3711,6289,0.7779,0.5715440582053355,0.8996660836380983
impulse_noise_s3,10000,5287,4713,0.6642,0.5055797238509552,0.8421387651177594
impulse_noise_s4,10000,7935,2065,0.3889,0.3299306868304978,0.615496368038741
impulse_noise_s5,10000,8755,1245,0.2013,0.181267846944603,0.3421686746987952
jpeg_compression_s1,10000,2674,7326,0.8537,0.6148092744951383,0.9408954408954407
jpeg_compression_s2,10000,3402,6598,0.8007,0.58994708994709,0.9093664746892998
jpeg_compression_s3,10000,3621,6379,0.7783,0.5655896161281414,0.8990437372628939
jpeg_compression_s4,10000,3878,6122,0.7513,0.5438370293965962,0.882718065991506
jpeg_compression_s5,10000,4270,5730,0.7146,0.5334894613583138,0.84956369982548
motion_blur_s1,10000,2374,7626,0.8695,0.6512215669755687,0.9374508261211644
motion_blur_s2,10000,3388,6612,0.7745,0.5853010625737899,0.8714458560193588
motion_blur_s3,10000,4251,5749,0.6759,0.5168195718654435,0.7935293094451209
motion_blur_s4,10000,4158,5842,0.681,0.5204425204425205,0.7952755905511811
motion_blur_s5,10000,4624,5376,0.5975,0.4571799307958477,0.7181919642857143
pixelate_s1,10000,1987,8013,0.9123,0.6794162053346754,0.9700486709097716
pixelate_s2,10000,3355,6645,0.8435,0.6128166915052161,0.9599699021820918
pixelate_s3,10000,4186,5814,0.7818,0.5554228380315337,0.9447884416924665
pixelate_s4,10000,6407,3593,0.5663,0.4056500702356797,0.8527692735875313
pixelate_s5,10000,8196,1804,0.3947,0.3158857979502196,0.7527716186252772
saturate_s1,10000,1752,8248,0.9152,0.6866438356164384,0.963748787584869
saturate_s2,10000,2079,7921,0.8885,0.6445406445406445,0.9525312460547912
saturate_s3,10000,1591,8409,0.9305,0.6989314896291641,0.9743132358187656
saturate_s4,10000,2071,7929,0.8988,0.6460647030420087,0.9648127128263336
saturate_s5,10000,2801,7199,0.8504,0.6144234202070689,0.9422141964161688
shot_noise_s1,10000,2912,7088,0.8416,0.6098901098901099,0.9367945823927766
shot_noise_s2,10000,4275,5725,0.7355,0.5342690058479532,0.885764192139738
shot_noise_s3,10000,6901,3099,0.4791,0.377046804810897,0.7063568893191352
shot_noise_s4,10000,7608,2392,0.3917,0.3078338590956887,0.6584448160535117
shot_noise_s5,10000,8648,1352,0.2744,0.2305735430157262,0.5547337278106509
snow_s1,10000,2146,7854,0.8866,0.6584342963653308,0.948943213649096
snow_s2,10000,3657,6343,0.7769,0.579163248564397,0.8909033580324768
snow_s3,10000,3116,6884,0.8182,0.5956354300385109,0.9189424753050552
snow_s4,10000,3509,6491,0.7854,0.5699629524080935,0.9018641195501464
snow_s5,10000,4323,5677,0.7122,0.515382835993523,0.8620750396336093
spatter_s1,10000,1767,8233,0.9099,0.6593095642331636,0.9636827401919106
spatter_s2,10000,2487,7513,0.8606,0.6143948532368315,0.9421003593770796
spatter_s3,10000,3170,6830,0.8133,0.5798107255520505,0.9216691068814056
spatter_s4,10000,2186,7814,0.8859,0.6527904849039341,0.951113386229844
spatter_s5,10000,2754,7246,0.83,0.6103848946986202,0.9134695004140216
speckle_noise_s1,10000,2914,7086,0.8483,0.6262868908716541,0.939599209709286
speckle_noise_s2,10000,4840,5160,0.6923,0.5008264462809917,0.8718992248062015
speckle_noise_s3,10000,5846,4154,0.6067,0.4493670886075949,0.8281174771304767
speckle_noise_s4,10000,7407,2593,0.4546,0.3543944916970433,0.7408407250289241
speckle_noise_s5,10000,8354,1646,0.3305,0.2716064160881015,0.6294046172539489
zoom_blur_s1,10000,2832,7168,0.8472,0.6288841807909604,0.9334542410714286
zoom_blur_s2,10000,3315,6685,0.801,0.6024132730015083,0.8994764397905759
zoom_blur_s3,10000,4117,5883,0.7186,0.5450570803983483,0.8400475947645759
zoom_blur_s4,10000,4591,5409,0.6395,0.4844260509692877,0.7711222037345166
zoom_blur_s5,10000,5144,4856,0.5157,0.3932737169517885,0.6453871499176277
