transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_s1,10000,1403,8597,0.9359,0.7234497505345688,0.9705711294637664
brightness_s2,10000,1469,8531,0.9304,0.7025187202178352,0.9696401359746806
brightness_s3,10000,1545,8455,0.9229,0.6828478964401294,0.9667652276759314
brightness_s4,10000,1645,8355,0.9136,0.662613981762918,0.963016157989228
brightness_s5,10000,1930,8070,0.8862,0.6295336787564767,0.9475836431226766
contrast_s1,10000,1328,8672,0.9307,0.7063253012048193,0.965059963099631
contrast_s2,10000,1768,8232,0.8946,0.6555429864253394,0.9459426627793974
contrast_s3,10000,2384,7616,0.8462,0.6140939597315436,0.9188550420168068
contrast_s4,10000,3466,6534,0.7358,0.53000577034045,0.844964799510254
contrast_s5,10000,6213,3787,0.3384,0.2654112345082891,0.4581462899392659
defocus_blur_s1,10000,1377,8623,0.9364,0.7298474945533769,0.9693842050330512
defocus_blur_s2,10000,1525,8475,0.9154,0.681311475409836,0.9575221238938052
defocus_blur_s3,10000,2421,7579,0.8398,0.6084262701363073,0.9137089325768571
defocus_blur_s4,10000,3798,6202,0.6987,0.5221169036334913,0.8068365043534343
defocus_blur_s5,10000,5316,4684,0.4186,0.3284424379232505,0.5209222886421861
elastic_transform_s1,10000,2104,7896,0.8822,0.6611216730038023,0.9411094224924011
elastic_transform_s2,10000,2064,7936,0.8792,0.6526162790697675,0.9381300403225806
elastic_transform_s3,10000,2650,7350,0.8217,0.609056603773585,0.8983673469387755
elastic_transform_s4,10000,3547,6453,0.7432,0.5452495066253171,0.8520068185340152
elastic_transform_s5,10000,4010,5990,0.7046,0.5094763092269327,0.8352253756260434
fog_s1,10000,1339,8661,0.9353,0.7199402539208365,0.9685948504791596
fog_s2,10000,1472,8528,0.9218,0.6936141304347826,0.961186679174484
fog_s3,10000,1707,8293,0.8982,0.651435266549502,0.9489931267333896
fog_s4,10000,2289,7711,0.8581,0.6404543468763653,0.9227078199974064
fog_s5,10000,4005,5995,0.6487,0.5058676654182273,0.7441201000834028
frost_s1,10000,2265,7735,0.8782,0.6291390728476821,0.951131221719457
frost_s2,10000,2974,7026,0.814,0.5783456624075319,0.9137489325362936
frost_s3,10000,4206,5794,0.7094,0.5049928673323824,0.8577839143942009
frost_s4,10000,4465,5535,0.6907,0.4940649496080627,0.8493224932249323
frost_s5,10000,5570,4430,0.5676,0.4050269299820467,0.7720090293453724
gaussian_blur_s1,10000,1382,8618,0.9363,0.731548480463097,0.969134369923416
gaussian_blur_s2,10000,2456,7544,0.8358,0.6046416938110749,0.9110551431601271
gaussian_blur_s3,10000,3902,6098,0.6678,0.5010251153254741,0.7745162348310921
gaussian_blur_s4,10000,5024,4976,0.4699,0.3781847133757962,0.5625
gaussian_blur_s5,10000,6492,3508,0.2381,0.2037892791127541,0.3015963511972634
gaussian_noise_s1,10000,4187,5813,0.7363,0.550274659660855,0.8702907276793395
gaussian_noise_s2,10000,6184,3816,0.5274,0.4078266494178525,0.7211740041928721
gaussian_noise_s3,10000,7488,2512,0.3577,0.3030181623931623,0.5207006369426752
gaussian_noise_s4,10000,7517,2483,0.2871,0.2540907276839164,0.387031816351188
gaussian_noise_s5,10000,7240,2760,0.2383,0.2236187845303867,0.2768115942028985
glass_blur_s1,10000,5910,4090,0.5057,0.3952622673434856,0.6652811735941321
glass_blur_s2,10000,5632,4368,0.5414,0.4167258522727273,0.7021520146520146
glass_blur_s3,10000,5479,4521,0.5696,0.4404088337287826,0.7261667772616678
glass_blur_s4,10000,6450,3550,0.4298,0.3337984496124031,0.604225352112676
glass_blur_s5,10000,6374,3626,0.4493,0.3479761531220584,0.6274131274131274
impulse_noise_s1,10000,2221,7779,0.8723,0.6253939666816749,0.9427947036894202
impulse_noise_s2,10000,3337,6663,0.7794,0.5525921486364999,0.8929911451298214
impulse_noise_s3,10000,4461,5539,0.6666,0.4691773145034745,0.8256002888608052
impulse_noise_s4,10000,6438,3562,0.4619,0.3752718235476856,0.6184727681078046
impulse_noise_s5,10000,7342,2658,0.296,0.2669572323617543,0.3762227238525207
jpeg_compression_s1,10000,2606,7394,0.8444,0.6039907904834996,0.9291317284284556
jpeg_compression_s2,10000,3242,6758,0.7897,0.5604565083281925,0.8996744598993786
jpeg_compression_s3,10000,3462,6538,0.7701,0.5580589254766031,0.8823799327011318
jpeg_compression_s4,10000,3648,6352,0.7526,0.5592105263157895,0.8636649874055415
jpeg_compression_s5,10000,4030,5970,0.7042,0.5099255583126551,0.8353433835845896
motion_blur_s1,10000,2057,7943,0.8748,0.6378220709771512,0.9361702127659576
motion_blur_s2,10000,3084,6916,0.7797,0.5706874189364461,0.8729034123770966
motion_blur_s3,10000,3962,6038,0.6716,0.5075719333669864,0.7792315336204041
motion_blur_s4,10000,3912,6088,0.6666,0.4915644171779141,0.7790735873850198
motion_blur_s5,10000,4349,5651,0.5813,0.4338928489307886,0.6947442930454787
pixelate_s1,10000,1892,8108,0.9076,0.6590909090909091,0.9655895411938826
pixelate_s2,10000,3243,6757,0.8426,0.6077705827937095,0.955305608998076
pixelate_s3,10000,4083,5917,0.7667,0.5233896644624051,0.93459523407132
pixelate_s4,10000,6226,3774,0.5294,0.3564086090587857,0.814785373608903
pixelate_s5,10000,8020,1980,0.38,0.3086034912718204,0.6691919191919192
saturate_s1,10000,1680,8320,0.9078,0.6678571428571428,0.95625
saturate_s2,10000,1986,8014,0.8799,0.6419939577039275,0.9388570002495632
saturate_s3,10000,1505,8495,0.9297,0.7136212624584718,0.9679811653914068
saturate_s4,10000,2038,7962,0.8918,0.6462217860647694,0.9546596332579754
saturate_s5,10000,2780,7220,0.8294,0.5798561151079137,0.9254847645429364
