transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_1,10000,3103,6897,0.7949,0.499516596841766,0.9277946933449326
brightness_2,10000,3338,6662,0.7796,0.4949071300179748,0.9222455719003302
brightness_3,10000,3796,6204,0.7449,0.4718124341412013,0.9119922630560928
brightness_4,10000,4494,5506,0.6954,0.450378282153983,0.8953868507083182
brightness_5,10000,5386,4614,0.6265,0.41515038989974,0.8732119635890767
contrast_1,10000,4213,5787,0.7222,0.4673629242819843,0.9077242094349404
contrast_2,10000,4795,5205,0.6813,0.4558915537017727,0.8889529298751201
contrast_3,10000,5807,4193,0.6033,0.4138109178577578,0.8657285952778441
contrast_4,10000,7965,2035,0.4042,0.3049591964846202,0.7926289926289927
contrast_5,10000,9411,589,0.1801,0.1530124322601211,0.6129032258064516
defocus_blur_1,10000,4358,5642,0.724,0.4770536943552088,0.9147465437788018
defocus_blur_2,10000,4829,5171,0.6922,0.4611720853178712,0.9079481725004834
defocus_blur_3,10000,5737,4263,0.622,0.4263552379292313,0.8852920478536243
defocus_blur_4,10000,7586,2414,0.4531,0.3345636699182705,0.8256006628003314
defocus_blur_5,10000,8261,1739,0.3687,0.282169228906912,0.7797584818861415
elastic_transform_1,10000,4354,5646,0.7194,0.4733578318787322,0.9091392136025503
elastic_transform_2,10000,4268,5732,0.7265,0.4761012183692596,0.9129448709002094
elastic_transform_3,10000,4709,5291,0.6958,0.4559354427691654,0.9092799092799092
elastic_transform_4,10000,5708,4292,0.6144,0.4036440084092502,0.8946877912395154
elastic_transform_5,10000,7044,2956,0.4716,0.3123225440090857,0.851150202976996
fog_1,10000,3556,6444,0.7685,0.4966254218222722,0.9185288640595904
fog_2,10000,4133,5867,0.7268,0.4684248729736269,0.9088119993182204
fog_3,10000,4863,5137,0.6712,0.44149701830146,0.8886509635974305
fog_4,10000,6214,3786,0.5498,0.3691663984551014,0.8462757527733756
fog_5,10000,7619,2381,0.3988,0.2762829767686048,0.7908441831163376
frost_1,10000,3774,6226,0.7505,0.4742978272390037,0.9179248313523932
frost_2,10000,4425,5575,0.7013,0.4413559322033898,0.9076233183856502
frost_3,10000,4938,5062,0.6563,0.4056298096395301,0.900829711576452
frost_4,10000,5422,4578,0.6124,0.3782736997417927,0.8896898208824814
frost_5,10000,6028,3972,0.557,0.3513603185136031,0.8690835850956697
gaussian_noise_1,10000,3689,6311,0.7564,0.4711303876389265,0.9231500554587228
gaussian_noise_2,10000,5447,4553,0.605,0.3802092895171654,0.8739292773995168
gaussian_noise_3,10000,6876,3124,0.4109,0.275305410122164,0.7093469910371318
gaussian_noise_4,10000,7300,2700,0.2635,0.1935616438356164,0.4525925925925926
gaussian_noise_5,10000,6903,3097,0.1574,0.1368970013037809,0.2030997739748143
glass_blur_1,10000,5539,4461,0.5994,0.374255280736595,0.878950907868191
glass_blur_2,10000,6298,3702,0.5528,0.3712289615751032,0.8616963803349541
glass_blur_3,10000,7669,2331,0.3978,0.2756552353631503,0.7996567996567997
glass_blur_4,10000,8932,1068,0.2319,0.1814823107926556,0.653558052434457
glass_blur_5,10000,9525,475,0.1394,0.1197900262467191,0.5326315789473685
impulse_noise_1,10000,4368,5632,0.6909,0.4503205128205128,0.8774857954545454
impulse_noise_2,10000,5038,4962,0.63,0.4170305676855895,0.8462313583232568
impulse_noise_3,10000,6449,3551,0.5056,0.3490463637773298,0.7899183328639819
impulse_noise_4,10000,7473,2527,0.3797,0.2736518131941656,0.6933122279382667
impulse_noise_5,10000,8339,1661,0.184,0.142463125074949,0.3925346177001806
jpeg_compression_1,10000,3864,6136,0.753,0.4904244306418219,0.9183507170795306
jpeg_compression_2,10000,3909,6091,0.7468,0.4824763366589921,0.9164340830733868
jpeg_compression_3,10000,4205,5795,0.7289,0.4730083234244946,0.91458153580673
jpeg_compression_4,10000,4542,5458,0.7076,0.4660942316160282,0.9085745694393552
jpeg_compression_5,10000,5413,4587,0.6439,0.437095880288195,0.8879441901024635
motion_blur_1,10000,4069,5931,0.7426,0.491275497665274,0.9150227617602428
motion_blur_2,10000,4730,5270,0.6941,0.4547568710359408,0.9089184060721064
motion_blur_3,10000,5386,4614,0.6409,0.4249907166728555,0.8929345470307759
motion_blur_4,10000,5967,4033,0.5917,0.3973521032344562,0.87924621869576
motion_blur_5,10000,6568,3432,0.5405,0.3711936662606577,0.8645104895104895
pixelate_1,10000,3393,6607,0.7765,0.4921898025346301,0.9225064325715152
pixelate_2,10000,3905,6095,0.7417,0.4786171574903969,0.9102543068088598
pixelate_3,10000,4981,5019,0.6602,0.4298333667938165,0.8888224745965332
pixelate_4,10000,5938,4062,0.5812,0.3939036712697878,0.8549975381585426
pixelate_5,10000,6886,3114,0.4856,0.3417078129538193,0.8037893384714194
shot_noise_1,10000,3753,6247,0.7487,0.4660271782573941,0.918520890027213
shot_noise_2,10000,4856,5144,0.6599,0.4135090609555189,0.8924961119751167
shot_noise_3,10000,6023,3977,0.5317,0.3357130997841607,0.8285139552426453
shot_noise_4,10000,6810,3190,0.4022,0.2678414096916299,0.6890282131661442
shot_noise_5,10000,7095,2905,0.1997,0.1578576462297392,0.3018932874354561
snow_1,10000,4120,5880,0.7365,0.4798543689320388,0.9163265306122448
snow_2,10000,4956,5044,0.6662,0.4404761904761904,0.8879857256145915
snow_3,10000,5515,4485,0.6283,0.4166817769718948,0.8885172798216276
snow_4,10000,6527,3473,0.542,0.3718400490271181,0.8617909588252232
snow_5,10000,6446,3554,0.5351,0.3706174371703382,0.8334271243669106
zoom_blur_1,10000,4591,5409,0.7083,0.4717926377695491,0.9090404880754298
zoom_blur_2,10000,5224,4776,0.6599,0.4416156202143951,0.8986599664991625
zoom_blur_3,10000,5759,4241,0.6145,0.4104879319326271,0.891535015326574
zoom_blur_4,10000,6450,3550,0.5439,0.3731782945736434,0.8540845070422535
zoom_blur_5,10000,6989,3011,0.4728,0.3240806982400915,0.8180006642311525
