transformation,nb_examples,nb_OMS,nb_IMS,total_acc,OMS_acc,IMS_acc
brightness_1,10000,3067,6933,0.7949,0.5040756439517444,0.923554017020049
brightness_2,10000,3270,6730,0.7796,0.4926605504587156,0.9190193164933136
brightness_3,10000,3708,6292,0.7449,0.4687162891046386,0.9076605212968848
brightness_4,10000,4385,5615,0.6954,0.4488027366020524,0.8879786286731968
brightness_5,10000,5222,4778,0.6265,0.4128686327077748,0.8599832565927166
contrast_1,10000,4095,5905,0.7222,0.4659340659340659,0.8999153259949195
contrast_2,10000,4652,5348,0.6813,0.4475494411006019,0.8846297681376215
contrast_3,10000,5687,4313,0.6033,0.4081237911025145,0.8606538372362624
contrast_4,10000,7834,2166,0.4042,0.2981873883073781,0.7876269621421976
contrast_5,10000,9356,644,0.1801,0.1513467293715263,0.5978260869565217
defocus_blur_1,10000,4250,5750,0.724,0.4724705882352941,0.9099130434782609
defocus_blur_2,10000,4690,5310,0.6922,0.4539445628997868,0.9026365348399248
defocus_blur_3,10000,5575,4425,0.622,0.4173991031390134,0.879774011299435
defocus_blur_4,10000,7419,2581,0.4531,0.326189513411511,0.8179000387446727
defocus_blur_5,10000,8117,1883,0.3687,0.2760872243439694,0.7679235262878386
elastic_transform_1,10000,4244,5756,0.7194,0.4698397737983035,0.9034051424600416
elastic_transform_2,10000,4182,5818,0.7265,0.4725011956001912,0.9090752836026126
elastic_transform_3,10000,4566,5434,0.6958,0.4498466929478756,0.902465955097534
elastic_transform_4,10000,5584,4416,0.6144,0.3981017191977077,0.8879076086956522
elastic_transform_5,10000,6879,3121,0.4716,0.308620439017299,0.8308234540211471
fog_1,10000,3473,6527,0.7685,0.4943852577022747,0.9143557530258924
fog_2,10000,4038,5962,0.7268,0.4643387815750371,0.9045622274404562
fog_3,10000,4720,5280,0.6712,0.4358050847457627,0.8816287878787878
fog_4,10000,6108,3892,0.5498,0.3672233136869679,0.8363309352517986
fog_5,10000,7471,2529,0.3988,0.2705126489091152,0.7777777777777778
frost_1,10000,3678,6322,0.7505,0.4695486677542142,0.913951281240114
frost_2,10000,4308,5692,0.7013,0.4354688950789229,0.9024947294448348
frost_3,10000,4804,5196,0.6563,0.3996669442131557,0.8935719784449576
frost_4,10000,5284,4716,0.6124,0.3709311127933384,0.8829516539440203
frost_5,10000,5892,4108,0.557,0.3455532926001358,0.8602726387536515
gaussian_noise_1,10000,3592,6408,0.7564,0.4685412026726058,0.9177590511860176
gaussian_noise_2,10000,5317,4683,0.605,0.3753996614632311,0.8656843903480674
gaussian_noise_3,10000,6681,3319,0.4109,0.273611734770244,0.687255197348599
gaussian_noise_4,10000,7015,2985,0.2635,0.1928724162508909,0.4294807370184255
gaussian_noise_5,10000,6545,3455,0.1574,0.1382734912146677,0.1936324167872648
glass_blur_1,10000,5441,4559,0.5994,0.3738283403786068,0.8686115376178987
glass_blur_2,10000,6164,3836,0.5528,0.3646982478909799,0.8550573514077163
glass_blur_3,10000,7525,2475,0.3978,0.2721594684385382,0.7797979797979798
glass_blur_4,10000,8834,1166,0.2319,0.1794204211002943,0.6295025728987993
glass_blur_5,10000,9409,591,0.1394,0.1175470294398979,0.4873096446700508
impulse_noise_1,10000,4348,5652,0.6909,0.4595216191352346,0.868895966029724
impulse_noise_2,10000,4971,5029,0.63,0.4216455441561054,0.8359514814078346
