classId,nb_neurons,nb_important_neurons
0,256,62
1,256,58
2,256,61
3,256,59
4,256,56
5,256,62
6,256,64
7,256,67
8,256,60
9,256,68
10,256,62
11,256,64
12,256,61
13,256,61
14,256,72
15,256,52
16,256,57
17,256,60
18,256,65
19,256,61
20,256,65
21,256,61
22,256,64
23,256,66
24,256,54
25,256,59
26,256,63
27,256,64
28,256,59
29,256,59
30,256,61
31,256,54
32,256,55
33,256,54
34,256,71
35,256,64
36,256,60
37,256,60
38,256,57
39,256,60
40,256,58
41,256,64
42,256,61
43,256,67
44,256,61
45,256,55
46,256,63
47,256,63
48,256,58
49,256,54
50,256,63
51,256,56
52,256,57
53,256,65
54,256,63
55,256,55
56,256,58
57,256,58
58,256,66
59,256,53
60,256,63
61,256,64
62,256,57
63,256,64
64,256,57
65,256,59
66,256,59
67,256,63
68,256,62
69,256,62
70,256,68
71,256,53
72,256,55
73,256,56
74,256,65
75,256,64
76,256,62
77,256,68
78,256,54
79,256,58
80,256,60
81,256,56
82,256,68
83,256,58
84,256,57
85,256,58
86,256,59
87,256,55
88,256,64
89,256,67
90,256,60
91,256,65
92,256,63
93,256,53
94,256,60
95,256,54
96,256,61
97,256,54
98,256,67
99,256,61
100,256,59
101,256,61
102,256,61
103,256,50
104,256,58
105,256,62
106,256,65
107,256,58
108,256,65
109,256,54
110,256,61
111,256,63
112,256,56
113,256,65
114,256,58
115,256,62
116,256,63
117,256,58
118,256,55
119,256,59
120,256,59
121,256,65
122,256,51
123,256,55
124,256,69
125,256,66
126,256,62
127,256,62
128,256,63
129,256,50
130,256,63
131,256,59
132,256,67
133,256,64
134,256,67
135,256,66
136,256,55
137,256,60
138,256,63
139,256,66
140,256,56
141,256,64
142,256,66
143,256,60
144,256,65
145,256,62
146,256,64
147,256,68
148,256,61
149,256,61
150,256,58
151,256,61
152,256,56
153,256,55
154,256,62
155,256,59
156,256,61
157,256,52
158,256,56
159,256,56
160,256,63
161,256,64
162,256,63
163,256,58
164,256,65
165,256,58
166,256,47
167,256,61
168,256,58
169,256,66
170,256,59
171,256,59
172,256,65
173,256,68
174,256,69
175,256,64
176,256,62
177,256,69
178,256,57
179,256,66
180,256,65
181,256,69
182,256,62
183,256,55
184,256,57
185,256,54
186,256,64
187,256,63
188,256,56
189,256,64
190,256,63
191,256,61
192,256,62
193,256,69
194,256,54
195,256,69
196,256,70
197,256,57
198,256,63
199,256,58
